PRDUCT,ENTRPS,RTRVL_RESN,ENFRC_YN,RTRVL_CMMND_DT,RECALL_COMMAND_DATE,ITEM_SEQ,BIZRNO,STD_CD,MAPPED_ITEM_SEQ
"1.아딘폴거품세정액, 2.덴티오클렌저, 3.퓨리덴구강장치세정제, 4.스마일폼의치세정제, 5.파로덱스의치세정제, 6.덴탈비프로클리어구강장치세정제, 7.소피오티클리어구강장치세정제, 8.미라클구강장치세정폼, 9.닥트러스트리치폼구강장치세정제, 10.프로덴티브큐잇클리어구강장치세정폼, 11.퓨어덴티구강장치세정액, 12.닥터덴구강장치세정제","(주)성원제약","아딘폴거품세정액 품질부적합(탄산수소나트륨 함량 및 확인시험)",Y,20260324000000,20260219,202500553,2048175757,"",
"네오밴드플러스에스","(주)네오메디제약","품질부적합(점착력 시험)",Y,20260225000000,20260219,201804039,2348106630,"",
"트라미펜세미정","하나제약(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260409000000,20260213,200711885,1248137632,"8806578020103,8806578020110,8806578020127,8806578020134",
"탁소텔1-바이알주(도세탁셀수화물)","(주)사노피-아벤티스코리아","시판후 안정성시험 일부 시험항목(불용성이물) 기준일탈로 인한 영업자회수",N,20260212000000,20260213,201003669,2208100544,"8806520008609,8806520008616,8806520008708,8806520008715",
"트라임정","(주)킵스바이오파마","불순물(N-nitroso-desmethyl-tramadol) 허용기준 초과 검출에 따른 영업자회수",N,20260213000000,20260213,200805928,2098126571,"8806633002006,8806633002013,8806633002020,8806633002037,8806932004503,8806932004510,8806932004527,8806932004534,8806932004541",
"파리에트정10밀리그람(라베프라졸나트륨)","주식회사제뉴원사이언스","허가사항과 다른 부형제를 사용하여 제조",N,20260226000000,20260213,200004370,6218542600,"8806469008708,8806469008715,8806469008722,8806469008739,8806717064203,8806717064210",
"브이앤치약(침강탄산칼슘)","주식회사두원사이언스제약","품질부적합(pH)",Y,"",20260210,201803234,2048633465,"",
"오투포유휴대용산소","(주)한성비씨씨","품질부적합(순도시험)",Y,20260303000000,20260209,201905083,6098182924,"",
"옵디보주20mg(니볼루맙,유전자재조합)","한국오노약품공업주식회사","금속이물 혼입 우려 영업자회수",N,20260211000000,20260206,201501486,1018686019,"8800504000207,8800504000214",
"옵디보주100mg(니볼루맙,유전자재조합)","한국오노약품공업주식회사","금속이물 혼입 우려 영업자회수",N,20260211000000,20260206,201501485,1018686019,"8800504000108,8800504000115",
"옵디보주240mg(니볼루맙,유전자재조합)","한국오노약품공업주식회사","금속이물 혼입 우려 영업자회수",N,20260211000000,20260206,201902211,1018686019,"8800504000306,8800504000313",
"젤라펜에스정","미래바이오제약(주)","품질부적합(함량미달)",Y,"",20260205,202303361,1258139744,"8806575040302,8806575040319,8806575040326",
"브리즈깨끗한방역마스크(KF94)(소형,초소형)(흰색, 진회색, 노란색, 상아색, 연보라색, 분홍색, 연분홍색, 연초록색, 연산호색, 산호색, 산호색(검정색끈), 연황색, 연황색(검정색끈)","(주)퓨어메이트","품질부적합(형상시험끈)",Y,"",20260203,202102225,4758101686,"",
"뉴브리즈깨끗한방역마스크(KF94)(대형,중형)(흰색)","(주)퓨어메이트","품질부적합(형상시험 끈)",Y,"",20260203,202102342,4758101686,"",
"레푸로진시럽(레보드로프로피진)","삼천당제약(주)","품질부적합 우려(성상, 미생물한도)에 따른 시중 유통품에 대해 영업자 회수",N,20260324000000,20260202,200300760,1248104295,"8806512003001,8806512003018",
"엔탭허브필발","(주)엔탭허브","건조감량",Y,20260206000000,20260130,201900406,3308101200,"8800626023207,8800626023214,8800626023221",
"한솔신이","한솔제약(주)","순도시험 부적합",Y,20260204000000,20260129,200206804,2048143497,"8800659015507,8800659015514,8800659015521",
"삼흥얼큰이황사방역마스크(KF94)(대형)(백색)","주식회사삼흥컴퍼니","품질부적합(끈길이)",Y,"",20260128,202104669,2808701789,"",
"식스방역용마스크(KF94)(특대형)","(주)캐드원","사용기한을 허가사항과 다르게 기재",N,20260130000000,20260127,201701589,1138146446,"",
"광명당선퇴","주식회사 광명당제약","관능(성상) 부적합",Y,20260205000000,20260127,200407029,6108621126,"8800641006100,8800641006117,8800641006124",
"엘사정2.5mg(아픽사반(미분화))","동광제약(주)","표시된 포장단위와 실제 낱알 개수 차이 발생으로 인한 영업자 회수",N,20260220000000,20260126,201900897,2018644250,"8806459064608,8806459064615,8806459064622,8806459064639",
"맘스덤네오드레싱(멸균반창고(1회용))","(주)네오메디제약","인장강도 부적합",Y,20260224000000,20260122,202105029,2348106630,"",
"뉴메디랩드레싱(멸균반창고(1회용))","(주)아텍스(Atex.co.,Ltd)","인장강도 부적합",Y,20260203000000,20260122,202400078,1108175321,"",
"센스켓정(클로로필린구리나트륨착염)","동국제약(주)","안정성 시험 일부 항목(용출시험) 기준 일탈로 인한 영업자 회수",N,20260219000000,20260120,202402775,3018508241,"8806534058409,8806534058416",
"로디엔셋정40/2.5/12.5밀리그램(텔미사르탄, 에스암로디핀니코틴산염, 클로르탈리돈)","한림제약(주)","사용기한 표기 오기재(정상 사용기한 이내임)",N,20260206000000,20260115,202502785,1358102638,"8806453073200,8806453073217",
"로디엔셋정80/2.5/12.5밀리그램(텔미사르탄, 에스암로디핀니코틴산염, 클로르탈리돈)","한림제약(주)","사용기한 표기 오기재(정상 사용기한 이내임)",N,20260206000000,20260115,202502784,1358102638,"8806453073101,8806453073118",
"로디엔셋정80/2.5/25밀리그램(텔미사르탄, 에스암로디핀니코틴산염, 클로르탈리돈)","한림제약(주)","사용기한 표기 오기재(정상 사용기한 이내임)",N,20260206000000,20260115,202502783,1358102638,"8806453073002,8806453073019",
"누코미트캡슐200밀리그램(아세틸시스테인)","(주)셀트리온제약","안정성 시험 일부 항목(용출시험) 기준 일탈로 인한 영업자 회수",N,20260310000000,20260113,199200475,2148671641,"8806580002104,8806580002111,8806580002128,8806580002135,8806939000300,8806939000317,8806939000324,8806939000331,8806939000348",199200475
"메디아렌즈워시액(염화나트륨)","주식회사보라미","이물 혼입 우려",N,20260206000000,20260112,202400549,6468803096,"",
"올메텍플러스정20/12.5밀리그램","(주)대웅제약","타제품(올메텍정20밀리그램) 혼입 우려에 따른 영업자회수",N,20260204000000,20260109,200500541,1248601143,"8806416020203,8806416020210,8806416020227,8806416020234",
"1.2080베이직치약, 2.2080데일리케어치약, 3.2080클래식케어치약, 4.2080스마트케어플러스치약, 5.2080트리플이펙트알파스트롱치약, 6.2080트리플이펙트알파후레쉬치약","애경산업(주)","중국 수입치약업체 자체 수시 점검 중 제품에 이물질(트리클로산)이 포함된 것을 확인하고, 사전예방적 조치로 시중유통품에 대한 영업자회수",N,20260106000000,20260105,202003990,3078502513,"",
"뉴본정50단위(칼리디노게나제)","(주)메디카코리아","시판후 안정성 시험에서 일부 시험항목(칼리디노게나제 함량) 기준일탈에 따른 영업자 회수",N,20260213000000,20251226,198600674,1208165228,"8806460001708,8806460001715,8806460001722,8806460001739,8806460001746,8806460001753,8806460001760",
"크라목신듀오건조시럽[아목시실린·클라불란산칼륨(7:1)](수출명:SHINACIN Duo dry syrup,ATADAR Duo Dry syrup)","신풍제약(주)","의약품 동등성 재평가 결과(생물학적동등성 미입증)에 따라 시중 유통품에 대한 영업자 회수",N,20260121000000,20251222,200200078,1348103819,"8806485033302,8806485033319,8806485033326,8806485033333",
"휴먼팔각회향","주식회사휴먼허브","건조감량(기준초과) 부적합",Y,20260102000000,20251222,200605855,5158126442,"8800624013507,8800624013514",
"현진골쇄보","(주)현진제약","확인시험",Y,20260102000000,20251222,200504652,2048189192,"8800648002006,8800648002013,8800648002020,8800648002037,8800648002044,8800648002051,8800648002068",
"동양허브인진호","(주)동양허브","회분, 산불용성회분",Y,20260102000000,20251222,200608823,2128175118,"8800672037906,8800672037913",
"오구맥듀오건조시럽(아목시실린.클라불란산칼륨(7:1))","진양제약(주)","의약품 동등성 재평가 결과(유용성 미인정)에 따른 영업자 회수",N,"",20251218,200201078,2148110673,"8806503010308,8806503010315",
"나눔유백피","나눔제약주식회사","관능(성상) 부적합",Y,20251222000000,20251215,201502124,5058176945,"8800610023107,8800610023114,8800610065107,8800610065114",
"퓨어마인드담죽엽","주식회사퓨어마인드농업회사법인","관능(성상) 부적합",Y,20251222000000,20251215,201204745,5050795087,"8800622022006,8800622022013,8800622022020,8800622022037",
"리노콜드시럽","(주)에이프로젠바이오로직스","불순물(N-nitroso-Phenylephrine) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260219000000,20251215,200200757,2188100518,"8806452007206,8806452007213",200200757
"레보발사정2.5/160밀리그램","안국뉴팜(주)","타제품(레보살탄정2.5/80밀리그램) 혼입 우려에 따른 영업자회수",N,20260205000000,20251212,201903024,4938700407,"8800536012100,8800536012117,8800536012124",
"뉴메디랩드레싱(멸균반창고(1회용))","(주)아텍스(Atex.co.,Ltd)","점착력 및 인장강도 부적합",Y,20251223000000,20251212,202400078,1108175321,"",
"후루손점안액(플루오로메톨론)","대우제약(주)","사용기한 표시 오기재(정상 유효기간이 남아있음)",N,20251219000000,20251211,200100687,6038109769,"8806496027604,8806496027611,8806496027628",
"에어캅비말차단마스크(KF-AD)(흰색)(대형)","주식회사이너웍스","품질부적합(끈길이)",Y,20260323000000,20251205,202005890,1148624756,"",
"푸른무약용안육","(주)푸른무약","건조감량",Y,20251215000000,20251205,200707515,2048181939,"8800687015104,8800687015111,8800687015128,8800687015135,8800687015142",
"시나파라정25mg(시나칼세트염산염)","한화제약(주)","불순물(N-nitroso-cinacalcet) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,"",20251203,201606401,1358104771,"8806516021704,8806516021711,8806516021728,8806516021735",
"푸른무약유백피","(주)푸른무약","성상",Y,20251203000000,20251202,200707508,2048181939,"8800687015708,8800687015715,8800687015722,8800687015739,8800687015746",
"코비안에스정","삼아제약(주)","불순물(N-nitroso-phenylephrine) 기준 초과 검출 및 발생 우려에 따른 영업자 회수",N,20251205000000,20251202,200100795,1388105823,"8806457011703,8806457011710,8806457011727",200100795
"에스오피엠정20밀리그램(에스오메프라졸마그네슘삼수화물)","(주)마더스제약","성상 부적합(정제 깨짐)에 따른 영업자 회수",N,"",20251201,201603063,3128629302,"8806228026707,8806228026714",
"코린시럽","신일제약(주)","불순물(N-nitroso-phenylephrine) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자회수",N,20251229000000,20251126,200102565,3038113742,"8806538023809,8806538023816",200102565
"태극인식방풍","(주)태극인 농업회사법인","건조함량(기준초과) 부적합",Y,20251127000000,20251125,201500757,5058177793,"8800638003907,8800638003914,8800638003921,8800638003938",
"올본음양곽","주식회사올본","정량법(이카리인)",Y,20251203000000,20251125,201904103,4858801436,"8800612014202,8800612014219,8800612014226",
"마리트롤주(트라마돌염산염)","(주)제일제약","니트로사민류 불순물(N-nitroso-desmethyl-tramadol)의 초과 검출(영업자 회수)",N,"",20251124,198800476,5148126323,"8806505000604,8806505000611,8806505000628,8806505000703,8806505000710,8806505000727,8806505000734",
"올로벨라0.2에스디점안액(올로파타딘염산염)(1회용)","(주)종근당","점안제 관 라벨 유효기간 오기에 따른 영업자 회수",N,20251224000000,20251121,201707093,3128560679,"8806433079000,8806433079017,8806433079024,8806433079031",
"1.뉴뽀로로는치카친구안심치약(천연딸기향,천연사과향), 2.동의장보고한방치약, 3.사니타덴티검케어치약, 4.,사니타덴티유아치약(딸기향,포도향), 5.블랑시크릿마더어드벤스드치약, 6.치이플러스치약, 7.사니타덴티스텝투치약(딸기향,포도향), 8.크린치약(체리피치향,블루베리향,레몬향,포도향), 9.동국덴탈프로젝트한방치약, 10.녹십초아마조나뿌리8010치약, 11.치이골드플러스치약, 12.닥터스마일아임맘, 13.사니타덴티유아치약(사과향), 14.사니타덴티스텝투치약(사과향), 15.루바스프리미엄치약, 16.브이티띵크유얼티스마더치약, 17.브이티띵크유얼티스차일드치약(망고향,딸기향,블루베리향,라즈베리향,), 18.올가맘키즈치약(천연딸기향), 19.임플랜75치약, 20.루안매스티프리미엄치약, 21.코엔셀에센셜치약, 22.판다그린허벌치약, 23.판다그린키즈치약(천연딸기향), 24.순한키즈치약(천연딸기향), 25.치이키즈젠피치약(천연바나나향,천연후르츠향), 26.엔비에프어드밴스드오랄앤진지발젤치약, 27.뷰에나베베키즈치약(오렌지향,포도향,딸기향), 28.디리밸런싱치약, 29.유우치약, 30.판다그린블루미아어린이치약(혼합과일향)(수출용), 31.치이골드이십삼치약","케이엠제약(주)","이물 혼입 우려에 따른 영업자회수",N,20251218000000,20251120,201309966,4208600149,"",
"레파트진정25mg(시나칼세트염산염)","대원제약(주)","불순물(N-nitroso-cinacalcet) 한시적 허용기준 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20260109000000,20251120,201606564,2078136336,"8806718064301,8806718064318",
"나음천남성","(주)나음제약","관능(성상)",Y,20251203000000,20251119,201904973,2828601283,"8800645016303,8800645016310,8800645016327",
"아토스타젯정10/20밀리그램","동화약품(주)","라벨내 일부 오기에 따른 영업자 회수",N,20251118000000,20251117,202101534,1108100102,"8806427070402,8806427070419,8806427070426,8806427070433",
"케이에프황사마스크(KF94)(흰색,검정색,연한황색,회색,노란색,분홍색)","주식회사 케이에프앰","품질부적합(형상_머리끈길이) *흰색에 한함",Y,20251218000000,20251117,201801403,5468700657,"",
"보위황정","미래바이오제약(주)","품질 부적합(붕해시험)",Y,"",20251114,201901578,1258139744,"8806575033601,8806575033618,8806575033625",201901578
"레파트진정25mg(시나칼세트염산염)","대원제약(주)","불순물(N-nitroso-cinacalcet) 한시적 허용기준 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20260109000000,20251112,201606564,2078136336,"8806718064301,8806718064318",
"올본두충","주식회사올본","성상",Y,20251205000000,20251111,201903879,4858801436,"8800612007303,8800612007310,8800612007327",
"에스오피엠정20밀리그램(에스오메프라졸마그네슘삼수화물)","(주)마더스제약","포장재 불량에 따른 성상 부적합 우려(정제 파손)로 영업자 회수",N,"",20251110,201603063,3128629302,"8806228026707,8806228026714",
"로스토정5밀리그램(로수바스타틴칼슘)","하나제약(주)","타제품(발라디핀정5/80mg)혼입 우려에 따른 영업자회수",N,20251202000000,20251110,201405050,1248137632,"8806578054603,8806578054610,8806578054627",
"인데놀정10mg(프로프라놀롤염산염)","동광제약(주)","불순물(N-nitroso-propranolol) 허용기준 초과 검출 우려에 따른 영업자 회수",N,20251209000000,20251107,197400040,2018644250,"8806459024701,8806459024718,8806459024725,8806459024732",
"조화목단피","(주)조화제약","이산화황",Y,20251203000000,20251107,201004796,1328625049,"8800700030008,8800700030015,8800700030022,8800700030039",
"웰클린네오황사방역마스크(KF94)(대형, 중형, 소형)(흰색, 검은색, 회색, 노란색, 연황색, 연분홍색, 산호색)","주식회사바이오플러스","분진포집효율 부적합",Y,20251111000000,20251104,202003346,6518801498,"",
"씨티엘황사방역마스크(KF94)(대형, 중형, 소형)","(주)씨티엘","품질부적합(형상)",Y,20251114000000,20251104,201905345,1418146437,"",
"풍산방풍","풍산주식회사","성상(관능)부적합",Y,20251110000000,20251103,200007553,5088102535,"8800679002808,8800679002815,8800679002822",
"퍼슨시나칼셋정25밀리그램(시나칼세트염산염)","(주)퍼슨","불순물(N-nitroso-cinacalcet) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자회수",N,20251127000000,20251103,201803406,1308168218,"8806205002601,8806205002618,8806574017305,8806574017312",
"트라스펜정(트라마돌,아세트아미노펜)","한미약품(주)","불순물(N-nitroso-desmethyl-tramadol) 기준 초과 검출에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20260129000000,20251031,200804560,1248700613,"8806435042200,8806435042217,8806435042224,8806435042231,8806435042248,8806435042255,8806435042262",
"트라스펜세미정(트라마돌,아세트아미노펜)","한미약품(주)","불순물(N-nitroso-desmethyl-tramadol) 기준 초과 검출에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20260129000000,20251031,200804519,1248700613,"8806435042309,8806435042316,8806435042323,8806435042330,8806435042347,8806435042354,8806435042361",
"아트라펜정","한국프라임제약(주)","불순물(N-nitroso-desmethyl-tramadol) 허용기준 초과 검출에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20251106000000,20251031,200804586,4028524506,"8806636028102,8806636028119,8806636028126,8806636028133,8806636028140,8806636028157,8806636028164,8806636028171,8806636028188,8806636028195,8806636091519",
"아트라펜세미정","한국프라임제약(주)","불순물(N-nitroso-desmethyl-tramadol) 허용기준 초과 검출에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20251106000000,20251031,200805737,4028524506,"8806636028409,8806636028416,8806636028423,8806636028430,8806636028447,8806636028454,8806636028461,8806636028478",
"에소펠정20밀리그램(에스오메프라졸마그네슘삼수화물)","안국약품(주)","성상 부적합 우려(정제 깨짐)로 영업자 회수",N,20251128000000,20251030,202003557,1188104188,"8806502055508,8806502055515",
"바른진피","(주)바른한방제약","품질 부적합(정량법-헤스페리딘)",Y,20260510000000,20251028,201605753,2338107882,"8800631004109,8800631004116,8800631004123,8800631004130,8800631004147,8800631004154,8800631004161",
"셀비나정(테르비나핀염산염)","(주)텔콘알에프제약","시판후 안정성 시험에서 불순물(N-nitroso-desmethyl terbinafine) 허용기준 초과 검출에 따른 영업자회수",N,"",20251027,201400914,5968500925,"8806255000503,8806255000510,8806255000527",
"오메플정20mg(에스오메프라졸마그네슘삼수화물)","(주)비보존제약","성상 부적합 우려(정제 깨짐)로 영업자 회수",N,20251226000000,20251027,201507071,1248199564,"8806582029307,8806582029314",
"리그노스판스탠다드","(주)신흥","표시기재 일부 누락(사용상의 주의사항)에 따른 영업자 회수",N,"",20251027,199403148,1148143063,"8806579000104,8806579000111,8806579000128",
"영천약초도매시장애엽","영천약초도매시장주식회사","순도(줄기)시험 부적합",Y,20251030000000,20251024,201503398,3538100034,"8800651005506,8800651005513,8800651005520",
"칼세파라정25mg(시나칼세트염산염)","(주)휴온스","불순물(N-nitroso-cinacalcet)초과검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자회수",N,20251124000000,20251023,201606081,8638700270,"8806706075401,8806706075418",
"올본구기자","주식회사올본","잔류농약",Y,20251126000000,20251023,201903938,4858801436,"8800612004005,8800612004012,8800612004029,8800612004036",
"오메스정20밀리그램(에스오메프라졸마그네슘삼수화물)","삼익제약(주)","성상 부적합 우려(정제 깨짐)로 영업자 회수",N,20251112000000,20251021,201600875,1228113217,"8806440037109,8806440037116",
"칼레그나정25밀리그램(시나칼세트염산염)","(주)라이트팜텍","불순물(N-nitroso-cinacalcet) 한시적 허용기준 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20251020000000,20251021,202008029,2048189630,"8806903032207,8806903032214",
"디펜콜에이캡슐","동성제약(주)","안정성시험 일부항목(함량) 기준 일탈로 인한 영업자 회수",N,20251101000000,20251020,200400904,2118125288,"8806432002801,8806432002818,8806432002825",
"듀오셋정","삼천당제약(주)","불순물(N-nitroso-desmethyl-tramadol) 허용기준 초과 검출에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20251117000000,20251017,200804561,1248104295,"8806512025409,8806512025416,8806512025423,8806512025430",
"탄시나정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,201905304,1258139744,"8806575034707,8806575034714,8806575034721,8806575034738,8806575034745,8806575034752,8806575034769,8806575034776,8806575034783",201905304
"하이드로핀정(펠로디핀)","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,200202118,1258139744,"8806575012606,8806575012613,8806575012620,8806575012637,8806575012644,8806575012651,8806575012668",
"로이디펜큐캡슐","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,202005975,1258139744,"8806575037500,8806575037517",
"싸이베린정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,198901887,1258139744,"8806575007008,8806575007015,8806575007022,8806575007039,8806575007046,8806575007053",198901887
"트루액티비오정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,202103684,1258139744,"8806575038705,8806575038712,8806575038729",
"헤파코엔정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,201803263,1258139744,"8806476035506,8806476035513,8806575036404,8806575036411",201803263
"헤파코엔플러스정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,202106244,1258139744,"8806575039207,8806575039214,8806575039221,8806575039238",
"하이타민골드정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,202204621,1258139744,"8806575040104,8806575040111,8806575040128,8806575040135",202204621
"힙스브이파워정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,202100523,1258139744,"8806575038200,8806575038217",
"멀티브큐골드정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,202007078,1258139744,"8806575038101,8806575038118",202007078
"셀비다정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,202102839,1258139744,"8806575038507,8806575038514,8806575038521",
"브이타민큐정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,20251105000000,20251017,201907913,1258139744,"8806575035100,8806575035117",
"리쥬비넥스크림(폴리데옥시리보뉴클레오티드나트륨)","(주)파마리서치","이물 혼입 우려에 따른 영업자 회수",N,"",20251017,201405771,2208607450,"8806628001205,8806628001212,8806628001229,8806628001236,8806628001243,8806628001250",201405771
"노보콜100주(카트리지)","(주)디브이홀딩스","표시기재 일부 누락에 따른 영업자 회수",N,"",20251016,201207607,1048198858,"8806253000307,8806253000314,8806253000321",
"엔탭허브천남성","(주)엔탭허브","관능(성상)",Y,20251021000000,20251015,201900380,3308101200,"8800626018500,8800626018517,8800626018524",
"에드플렉스-에스아이","(주)영케미칼","의약외품을 의료기기로 오인하게 할 우려가 있는 사항 기재",Y,20251204000000,20251015,201309169,6218109170,"",
"리피뎀주","비브라운코리아(주)","시판 후 안정성시험 결과 불용성미립자 기준 초과에 따른 영업자 회수",N,20251017000000,20251015,201005585,1208156485,"8806674007800,8806674007817,8806674007909,8806674007916,8806674008005,8806674008012",
"라피덤정(테르비나핀염산염)","환인제약(주)","불순물(N-nitroso-desmethyl terbinafine) 허용기준 초과 검출에 따른 영업자 회수",N,"",20251013,200101103,2158136171,"8806572001405,8806572001412,8806572001429,8806572001436",
"나눔울금","나눔제약주식회사","관능(성상) 부적합",Y,20251016000000,20251013,201502123,5058176945,"8800610023008,8800610023015,8800610065008,8800610065015",
"에스오엠정20mg(에스오메프라졸마그네슘삼수화물)","대한뉴팜(주)","성상 부적합 우려(정제 깨짐)에 따른 영업자 회수",N,20251219000000,20251002,201506743,2298110729,"8806699063904,8806699063911",
"아트라센정","한국유니온제약(주)","불순물(N-nitroso-desmethyl tramadol) 1일 섭취 허용량 기준 초과 검출에 따른 영업자 회수",N,20251016000000,20251002,200805301,6078121765,"8806655054007,8806655054014,8806655054021",
"환인아토목세틴캡슐60밀리그램(아토목세틴염산염)","환인제약(주)","불순물(N-nitroso-Atomoxetine) 한시적 허용기준 초과 검출에 따른 영업자 회수",N,"",20251001,201306369,2158136171,"8806572025302,8806572025319,8806572025326",
"환인아토목세틴캡슐25밀리그램(아토목세틴염산염)","환인제약(주)","불순물(N-nitroso-Atomoxetine) 한시적 허용기준 초과 검출에 따른 영업자 회수",N,"",20251001,201306368,2158136171,"8806572025104,8806572025111,8806572025128,8806572025135",
"환인아토목세틴캡슐10밀리그램(아토목세틴염산염)","환인제약(주)","불순물(N-nitroso-Atomoxetine) 한시적 허용기준 초과 검출에 따른 영업자 회수",N,"",20251001,201306366,2158136171,"8806572024909,8806572024916,8806572024923,8806572024930",
"환인아토목세틴캡슐18밀리그램(아토목세틴염산염)","환인제약(주)","불순물(N-nitroso-Atomoxetine) 한시적 허용기준 초과 검출에 따른 영업자 회수",N,"",20251001,201306367,2158136171,"8806572025005,8806572025012,8806572025029,8806572025036",
"아세타돌정","(주)오스코리아제약","니트로사민류(N-nitroso-desmethyl tramadol) 불순물 초과 검출",N,"",20250930,201504763,2248154571,"8806297007102,8806297007119,8806297007126",
"나음골쇄보","(주)나음제약","확인시험",Y,20250930000000,20250926,201904876,2828601283,"8800645002504,8800645002511,8800645002528,8800645002535",
"이프펜정","한국신텍스제약(주)","사용기한 표시 오류",N,20251024000000,20250925,202301573,6138163381,"8806230069709,8806230069716,8806230069723,8806230069730",202301573
"이프펜더블유정","한국신텍스제약(주)","사용기한 표시 오류",N,20251024000000,20250925,202301724,6138163381,"8806230069808,8806230069815,8806230069822",202301724
"바크락스주250밀리그램(아시클로버)","(주)에이프로젠바이오로직스","직접 용기(바이알)에 제조번호/사용기한 미기재",N,20251021000000,20250924,199700475,2188100518,"8806452044508,8806452044515,8806452044522,8806452044539,8806518009403,8806518009410,8806518009427,8806518009434",
"터빈정(테르비나핀염산염)","경동제약(주)","불순물(N-nitroso-desmethyl terbinafine) 허용기준 초과 검출에 따른 영업자 회수",N,"",20250924,200102268,1248135518,"8806481021105,8806481021112,8806481021129,8806481021136",
"레그칼정25밀리그램(시나칼세트염산염)","(주)새한제약","불순물(N-nitroso-cinacalcet) 한시적 허용기준 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,20251119000000,20250923,202003560,1258103547,"8806452103502,8806452103519,8806513010404,8806513010411",
"레플로신정100밀리그램(레보플록사신수화물)","에이치엘비제약(주)","혼합 공정 시 과건조로 인한 정제 파손 발생 우려에 따른 영업자 회수",N,"",20250923,201901699,2088125623,"8806473036902,8806473036919,8806473036926,8806473036933",
"칼레그나정25밀리그램(시나칼세트염산염)","(주)라이트팜텍","불순물(N-nitroso-cinacalcet) 한시적 허용기준 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대해 영업자 회수",N,"",20250922,202008029,2048189630,"8806903032207,8806903032214",
"나눔자소엽","나눔제약주식회사","순도시험(이물)부적합",Y,20250926000000,20250922,201406284,5058176945,"8800610024708,8800610024715,8800610045505,8800610045512",
"푸로핀캡슐(플루옥세틴염산염)","알보젠코리아(주)","시판 후 안정성 시험 결과 불순물(N-nitroso-fluoxetine) 한시적 허용기준 초과 검출에 따른 영업자 회수",N,20250919000000,20250919,200202781,2158121950,"8806526040405,8806526040412,8806526040429,8806526040436,8806526040443,8806559027503,8806559027510,8806559027527,8806559027534,8806559027541",
"폴리네오주(폴리데옥시리보뉴클레오티드나트륨)","동광제약(주)","직접 용기(바이알)에 제조번호/사용기한 미기재",N,20251022000000,20250919,202003747,2018644250,"8806459070104,8806459070111,8806459070128",
"충남녹용","충남제약(주)","의약품제조업 허가를 받지 않은 무허가 의약품 제조소에서 생산한 녹용절편을 구매하여 자사에서 제조한 것처럼 포장하여 판매",Y,"",20250919,200205870,1298120140,"8800692000102,8800692000126,8800692000133,8800692000140",
"환인아토목세틴캡슐60밀리그램(아토목세틴염산염)","환인제약(주)","불순물(N-nitroso-Atomoxetine) 한시적 허용기준 초과 검출에 따른 영업자 회수",N,20251020000000,20250918,201306369,2158136171,"8806572025302,8806572025319,8806572025326",
"환인아토목세틴캡슐10밀리그램(아토목세틴염산염)","환인제약(주)","불순물(N-nitroso-Atomoxetine) 한시적 허용기준 초과 검출에 따른 영업자 회수",N,20251020000000,20250918,201306366,2158136171,"8806572024909,8806572024916,8806572024923,8806572024930",
