DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN,AGE_BASE
5158,"특정연령대금기","복합",D001521,"Calcium pantothenate","판토텐산칼슘","[D001117]Cyanocobalamin(시아노코발라민)/[D001518]Milk-thistle Fruit Dry Extract(Milk Thistke Dry Extract)(밀크시슬건조엑스)/[D001519]Nicotinamide(니코틴산아미드)/[D001265]Pyridoxine Hydrochloride(피리독신염산염)/[D001520]Thiamine nitrate(티아민질산염)","[A001260]판토텐산칼슘/[M244748]판토텐산칼슘/[C040330]시아노코발라민(비타민B12)/[C081020]시아노코발라민1%/[C081612]시아노코발라민0ㆍ1%WS,Spray-dried/[C082616]시아노코발라민0ㆍ1%SD/[C082811]시아노코발라민1%SD/[C083188]시아노코발라민0ㆍ1%/[C083197]시아노코발라민1%산/[C083532]무수시아노코발라민/[C083632]시아노코발라민1%과립/[C083673]수지흡착1%시아노코발라민/[C084210]0ㆍ1%시아노코발라민트리츄레이션/[C084370]시아노코발라민0ㆍ1%type ws/[C084641]수용성시아노코발라민0ㆍ1%/[C084783]시아노코발라민0ㆍ1%산/[C086692]시아노코발라민제제/[C089580]0ㆍ1%시아노코발라민/[C091382]시아노코발라민0ㆍ1%과립/[C093734]시아노코발라민산/[C093748]시아노코발라민0ㆍ1%분말/[C096429]시아노코발라민/[C099915]0ㆍ1% 수용성시아노코발라민/[C409830]시아노코발라민/[I000703]시아노코발라민/[M040330]시아노코발라민(비타민B12)/[M081020]시아노코발라민1%/[M081612]시아노코발라민0ㆍ1%WS,Spray-dried/[M082616]시아노코발라민0ㆍ1%SD/[M082811]시아노코발라민1%SD/[M083188]시아노코발라민0ㆍ1%/[M083197]시아노코발라민1%산/[M083532]무수시아노코발라민/[M083632]시아노코발라민1%과립/[M083673]수지흡착1%시아노코발라민/[M084210]0ㆍ1%시아노코발라민트리츄레이션/[M084370]시아노코발라민0ㆍ1%type ws/[M084641]수용성시아노코발라민0ㆍ1%/[M084783]시아노코발라민0ㆍ1%산/[M086692]시아노코발라민/[M089580]0ㆍ1%시아노코발라민/[M091382]시아노코발라민0ㆍ1%과립/[M093734]시아노코발라민산/[M093748]시아노코발라민0ㆍ1%분말/[M096429]시아노코발라민/[M099915]0ㆍ1%수용성시아노코발라민/[M105765]시아노코발라민제제/[M201060]시아노코발라민0ㆍ1%typews/[M205977]수용성 시아노코발라민 0.1%/[M207390]시아노코발라민 0.1%(시아노코발라민으로서 5㎍)/[M207532]시아노코발라민 0.1%(비타민 B12로서 5㎍)/[M210476]0.1%시아노코발라민/[M211243]만니톨-시아노코발라민 배산 0.1%/[M212896]0.1% 시아노코바라민/[M213686]시아노코발라민0.1%/[M216043]0.1% 시아노코발라민(시아노코발라민으로서 2.5마이크로그램)/[M221499]시아노코발리민0.1%/[M225607]시아노코발라민 1%/[M232653]시아노코발라민 배산 0.1%/[M235614]1%시아노코발라민/[M240091]시아노코발라민1%/[M243438]시아노코발라민 0.1%/[M243493]0.1%시아노코발라민/[M243574]0.1% 시아노코발라민/[M243956]0.1% 시아노코발라민/[M243963]0.1% 시아노코발라민/[M244157]0.1% 시아노코발라민/[M244374]시아노코발라민1%/[M244679]0.1% 시아노코발라민/[M245647]0.1％ 시아노코발라민/[M245958]0.1% 시아노코발리민/[M246786]0.1%수용성시아노코발라민/[M255994]시아노코발라민1000배산/[M256157]시아노코발라민100배산/[M262818]시아노코발라빈 1000배산/[M265578]시아노코발라민1000배산/[M266819]밀크시슬건조엑스/[M272736]밀크시슬열매 건조엑스/[A000117]니코틴산아미드/[M040064]니코틴산아미드/[M204304]피리독신염산염/[M223262]티아민질산염","[03910]간장질환용제","캡슐/연질캡슐제, 현탁상",20201228,"","","정상","12세 이하"
5160,"특정연령대금기","복합",D000671,"Calcium Carbonate","탄산칼슘","[D001517]Cinnamon Oil(시나몬유)/[D001530]Diastase-protease-cellulase(디아스타제∙프로테아제∙셀룰라제)/[D001516]Fennel Oil(회향유)/[D001373]Hydrotalcite(히드로탈시트)/[D001531]Lipase Ⅱ(리파제Ⅱ)/[D001515]Prozyme(프로자임)/[D001148]sodium bicarbonate(탄산수소나트륨)/[D001499]Ursodeoxycholic Acid(우르소데옥시콜산)","[M040634]침강탄산칼슘/[A003823]시나몬유/[M276911]시나몬유/[A000188]디아스타제·프로테아제·셀룰라제/[M267745]디아스타제·프로테아제·셀룰라제/[M040812]회향유/[A001465]히드로탈시트/[M051022]히드로탈시트/[M092187]리파제II/[A001358]프로자임/[M051800]프로자임/[C040631]탄산수소나트륨/[C096332]탄산수소나트륨수용액/[I003757]탄산수소나트륨/[M040631]탄산수소나트륨/[M091817]중탄산수소나트륨/[M096332]탄산수소나트륨수용액/[M104138]포화탄산수소나트륨/[M104658]5%탄산수소나트륨/[M206247]무균탄산수소나트륨/[M206711]탄산수소나트륨(중조)/[M207094]탄산수소나트륨/[M215774]5%탄산수소나트륨수용액/[M230823]탄산수소나트륨액/[M250011]탄산수소나트륨주사액/[M253779]탄산수소나트륨(제3법)/[A000910]우르소데옥시콜산/[M223167]우르소데옥시콜산","[02390]기타의 소화기관용약","나정/세립/정제",20201228,"","","정상","15세 미만"
5293,"특정연령대금기","단일",D001565,Nitrofurantoin,"니트로푸란토인","","[A001727]니트로푸란토인","","캡슐",20220630,"태아 및 신생아에서 용혈성 빈혈의 가능성","","정상","3개월 미만"
5294,"특정연령대금기","단일",D001566,Permethrin,"퍼메트린","","[A001269]퍼메트린","","크림",20220630,"2개월 미만에서 안전성 및 유효성 미확립, 2~23개월 사이의 어린이에서 사용 경험 제한적임. 긴밀한 의료감독 하에 치료 받아야 함","","정상","2세 미만"
5295,"특정연령대금기","단일",D001554,Racecadotril,"라세카도트릴","","[A000226]라세카도트릴","","캡슐/산제",20220630,"안전성 및 유효성 미확립","","정상","3개월 미만"
5412,"특정연령대금기","단일",D000879,Hydromorphone,"히드로모르폰","","[M088418]염산히드로모르폰/[M101831]염산하이드로모르폰/[M103280]히드로모르폰/[M205756]염산히드로모르폰/[M247991]히드로모르폰염산염/[M261066]히드로모르폰염산염","","서방정",20221215,"- 안전성 및 유효성 미확립","","정상","18세 미만"
5414,"특정연령대금기","단일",D000592,Triazolam,"트리아졸람","","[I005603]트리아졸람/[M088380]트리아졸람","","정제",20221215,"- 안전성 및 유효성 미확립","","정상","18세 미만"
5415,"특정연령대금기","단일",D001642,"Morphine Sulfate","모르핀황산염","","[M112545]모르핀황산염","","서방정",20221215,"","","정상","18세 미만"
5416,"특정연령대금기","단일",D000709,Lidocaine,"리도카인","","[M040131]리도카인/[M050364]염산리도카인/[M203064]리도카인염산염일수화물/[M222842]리도카인염산염수화물/[M241764]리도카인염산염","","경구용겔제",20221215,"","5% 구강용겔제","정상","4세 이하"
5417,"특정연령대금기","단일",D000709,Lidocaine,"리도카인","","[M040131]리도카인/[M050364]염산리도카인/[M203064]리도카인염산염일수화물/[M222842]리도카인염산염수화물/[M241764]리도카인염산염","","피부연고제",20221215,"","연고제(침윤거즈)","정상","3개월 이하"
