TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,FORM_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MAIN_INGR,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,INGR_ENG_NAME_FULL,CHANGE_DATE
"용량주의","단일",D001544,Eszopiclone,"에스조피클론","","필름코팅정",202002179,"조스정3밀리그램(에스조피클론)",20200330,"명인제약(주)","파란색의 원형 필름코팅정",01120,"최면진정제","전문의약품","[M268000]에스조피클론",20220527,"에스조피클론 3mg","정제","Eszopiclone(에스조피클론)",""
"용량주의","단일",D001544,Eszopiclone,"에스조피클론","","필름코팅정",202002180,"조스정2밀리그램(에스조피클론)",20200330,"명인제약(주)","연한 파란색의 원형 필름코팅정",01120,"최면진정제","전문의약품","[M268000]에스조피클론",20220527,"에스조피클론 3mg","정제","Eszopiclone(에스조피클론)",""
"용량주의","단일",D001544,Eszopiclone,"에스조피클론","","필름코팅정",202008746,"영진조피클론정1밀리그램(에스조피클론)",20201214,"영진약품(주)","흰색의 원형 필름코팅정",01120,"최면진정제","전문의약품","[M268000]에스조피클론",20220527,"에스조피클론 3mg","정제","Eszopiclone(에스조피클론)",""
"용량주의","단일",D001544,Eszopiclone,"에스조피클론","","필름코팅정",202008747,"영진조피클론정2밀리그램(에스조피클론)",20201214,"영진약품(주)","연한 청색의 원형 필름코팅정",01120,"최면진정제","전문의약품","[M268000]에스조피클론",20220527,"에스조피클론 3mg","정제","Eszopiclone(에스조피클론)",""
"용량주의","단일",D001544,Eszopiclone,"에스조피클론","","필름코팅정",202008748,"영진조피클론정3밀리그램(에스조피클론)",20201214,"영진약품(주)","청색의 원형 필름코팅정",01120,"최면진정제","전문의약품","[M268000]에스조피클론",20220527,"에스조피클론 3mg","정제","Eszopiclone(에스조피클론)",""
"용량주의","단일",D001545,"Esketamine Hydrochloride","에스케타민염산염","","정량액상분무제",202004585,"스프라바토나잘스프레이(에스케타민염산염)",20200623,"(주)한국얀센","무색 내지 연한 노란색 액이 투명한 유리 바이알에 담겨 일정량씩 분무되는 불투명한 플라스틱 용기에 든 비강 분무액",01170,"정신신경용제","전문의약품","[M265122]에스케타민염산염",20220527,"에스케타민 84mg","점비액제","Esketamine Hydrochloride(에스케타민염산염)",""
"용량주의","단일",D001549,"Follitropin delta","폴리트로핀델타","","용액주사제",201908661,"레코벨프리필드펜(폴리트로핀델타)(유전자재조합)",20191227,"한국페링제약(주)","무색 투명한 용액이 충전되어 있는 투명한 유리 카트리지가 장착된 용량 조절이 가능한 펜 모양의 프리필드 주사제",02490,"기타의 호르몬제(항호르몬제를 포함)","전문의약품","[M270741]폴리트로핀델타/[M270741]폴리트로핀델타/[M270741]폴리트로핀델타",20220527,"폴리트로핀델타 24㎍","주사제","Follitropin delta(폴리트로핀델타)",""
"용량주의","단일",D001178,"Selexipag Micronized","셀렉시팍(미분화)","","필름코팅정",202302962,"업트라비정600마이크로그램(셀렉시팍)",20231020,"(주)한국얀센","밝은 보라색의 원형 필름코팅정",02140,"혈압강하제","전문의약품","[M263985]셀렉시팍(미분화)",20220527,"셀렉시팍(미분화) 3200㎍","정제","Selexipag Micronized(셀렉시팍(미분화))",""
"용량주의","단일",D001552,Burosumab,"부로수맙","","용액주사제",202006465,"크리스비타주사액30밀리그램(부로수맙,유전자재조합)",20200917,"한국쿄와기린(주)","투명에서 유백광을 띄는 무색에서 옅은 황갈색의 용액이 무색 투명한 유리 바이알에 든 주사제",03990,"따로 분류되지 않는 대사성 의약품","전문의약품","[M279532]부로수맙",20220527,"FGF23 관련 저인산혈증성 구루병 및 골연화증의 경우 부로수맙 90mg","FGF23 관련 저인산혈증성 구루병 및 골연화증의 경우 부로수맙 90mg, 주사제","Burosumab(부로수맙)",""
"용량주의","단일",D001552,Burosumab,"부로수맙","","용액주사제",202006466,"크리스비타주사액20밀리그램(부로수맙,유전자재조합)",20200917,"한국쿄와기린(주)","투명에서 유백광을 띄는 무색에서 옅은 황갈색의 용액이 무색 투명한 유리 바이알에 든 주사제",03990,"따로 분류되지 않는 대사성 의약품","전문의약품","[M279532]부로수맙",20220527,"FGF23 관련 저인산혈증성 구루병 및 골연화증의 경우 부로수맙 90mg","FGF23 관련 저인산혈증성 구루병 및 골연화증의 경우 부로수맙 90mg, 주사제","Burosumab(부로수맙)",""
"용량주의","단일",D001552,Burosumab,"부로수맙","","용액주사제",202006467,"크리스비타주사액10밀리그램(부로수맙,유전자재조합)",20200917,"한국쿄와기린(주)","투명에서 유백광을 띄는 무색에서 옅은 황갈색의 용액이 무색 투명한 유리 바이알에 든 주사제",03990,"따로 분류되지 않는 대사성 의약품","전문의약품","[M279532]부로수맙",20220527,"FGF23 관련 저인산혈증성 구루병 및 골연화증의 경우 부로수맙 90mg","FGF23 관련 저인산혈증성 구루병 및 골연화증의 경우 부로수맙 90mg, 주사제","Burosumab(부로수맙)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부용겔제",201308592,"사노바겔(리도카인)",20130731,"명문제약(주)","무색투명의 전질균등한 겔제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"연고제(5%), 겔제(5%) 리도카인 해당 제형으로 20g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부용겔제",201605134,"베라카인겔10.56%(리도카인)(수출용)",20160826,"(주)퍼슨","바나나향이 있는 무색 또는 미백색의 투명한 겔제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"연고제(5%), 겔제(5%) 리도카인 해당 제형으로 20g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부용겔제",201803752,"아케인겔(리도카인)(수출용)",20180917,"시믹씨엠오코리아주식회사","흰색 또는 연한 노란색의 겔제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"연고제(5%), 겔제(5%) 리도카인 해당 제형으로 20g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부연고제",201905265,"리도킨연고5%(리도카인)",20190724,"오스틴제약(주)","흰색 ~ 미황색의 연고",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"연고제(5%), 겔제(5%) 리도카인 해당 제형으로 20g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부용겔제",202004278,"시어스테그프리미움겔9.6%(리도카인)",20200608,"(주)시어스제약","무색투명한 전질균등한 겔제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"연고제(5%), 겔제(5%) 리도카인 해당 제형으로 20g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부용겔제",202303303,"제이카인겔10.56%(리도카인)(수출용)",20231207,"(주)비보존제약","무색의 투명한 수용성 겔제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"연고제(5%), 겔제(5%) 리도카인 해당 제형으로 20g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,"Lidocaine Hydrochloride Hydrate","리도카인염산염수화물","","젤리형겔",202401025,"실로카이나젤리2%(리도카인염산염수화물)(수출용)",20240429,"알리코제약(주)","무색투명한 젤리",01210,"국소마취제","전문의약품","[M222842]리도카인염산염수화물",20221028,"연고제(5%), 겔제(5%) 리도카인 해당 제형으로 20g","","Lidocaine Hydrochloride Hydrate(리도카인염산염수화물)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",200802919,"헤카인크림(리도카인)",20080317,"동성제약(주)","흰색～엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",200905328,"엠마오플러스크림(리도카인)",20090714,"알리코제약(주)","흰색 내지 엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201308292,"리도엠크림9.6%(리도카인)",20130719,"(주)마더스제약","흰색-미황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201403428,"스킨카인크림9.6%(리도카인)(수출용)",20140725,"주식회사제뉴원사이언스","흰색 내지 엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201500277,"엠디카인크림(리도카인)",20150119,"맥널티제약(주)","흰색~미황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201504173,"리오칸크림(리도카인)",20150626,"대화제약(주)","흰색 내지 엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
"용량주의","단일",D000709,Lidocaine,"리도카인","","피부크림제",201504677,"스킨카인크림10.56%(리도카인)(수출용)",20150707,"주식회사제뉴원사이언스","흰색 내지 엷은 황색의 크림제",01210,"국소마취제","일반의약품","[M040131]리도카인",20221028,"크림제(4%) 리도카인 해당 제형으로 25g","","Lidocaine(리도카인)",""
