CPNT_CD,DRUG_CPNT_KOR_NM,DRUG_CPNT_ENG_NM,FOML_CD,FOML_NM,DOSAGE_ROUTE_CODE,DAY_MAX_DOSG_QY_UNIT,DAY_MAX_DOSG_QY
M267326,"혈액응고인자VIII, 루리옥토코그알파페골(유전자재조합)","Blood Coagulation Factor VIII, Rurioctocog Alpha Pegol (rDNA)",210402,"용액용동결건조분말주사제","정맥","",0.00000
M267377,"폴라투주맙 베도틴","Polatuzumab Vedotin",210402,"용액용동결건조분말주사제","정맥","",0.00000
M267385,"세파연조엑스(1.8→1)","Cepae Soft Extract (1.8→1)",370101,"피부용겔제","외용","",0.00000
M267429,"휴먼인슐린(유전자재조합)","Human Insulin (rDNA)",210201,"현탁액주사제","피하","",0.00000
M267505,"수크로제이철옥시수산화물","Sucroferric Oxyhydroxide",010801,"추어블정(저작정)","경구","정",6.00000
M267533,"플루오로메톨론아세테이트","Fluorometholone Acetate",410201,"현탁액점안제","눈","",0.00000
M267589,"장티푸스Ty21a주생균(균주명:Salmonella typhi ty21a,종세포주:Salmonella typhi ty2)","Live Salmonella Typhoid Ty21a Strain (Strain: Salmonella Typhi Ty21a, Sub Host: Salmonella Typhi Ty2)",020401,"장용성필름코팅캡슐제","경구","캡슐",1.00000
M267595,"수막구균 혈청형 A 다당류와 디프테리아톡소이드 접합 단백질","Meningococcal A Polysaccharide C.diptheria Conjugate Antigen",210101,"용액주사제","근육","바이알",1.00000
M267596,"수막구균 혈청형 C 다당류와 디프테리아톡소이드 접합 단백질","Meningococcal C Polysaccharide C.diptheria Conjugate Antigen",210101,"용액주사제","근육","바이알",1.00000
M267597,"수막구균 혈청형 Y 다당류와 디프테리아톡소이드 접합 단백질","Meningococcal Y Polysaccharide C.diptheria Conjugate Antigen",210101,"용액주사제","근육","바이알",1.00000
M267598,"수막구균 혈청형 W-135 다당류와 디프테리아톡소이드 접합 단백질","Meningococcal W-135 Polysaccharide C.diptheria Conjugate Antigen",210101,"용액주사제","근육","바이알",1.00000
M267642,"라사길린타르타르산염","Rasagiline Tartrate",010101,"나정","경구","정",1.00000
M267686,"브리바라세탐",Brivaracetam,010201,"필름코팅정","경구","정",20.00000
M267686,"브리바라세탐",Brivaracetam,109801,"경구용액제","경구","밀리리터",20.00000
M267745,"디아스타제·프로테아제·셀룰라제","Diastase·Protease·Cellulase",010201,"필름코팅정","","정",6.00000
M267745,"디아스타제·프로테아제·셀룰라제","Diastase·Protease·Cellulase",010201,"필름코팅정","경구","정",6.00000
M267745,"디아스타제·프로테아제·셀룰라제","Diastase·Protease·Cellulase",010401,"다층정","경구","정",6.00000
M267745,"디아스타제·프로테아제·셀룰라제","Diastase·Protease·Cellulase",060301,"세립","경구","포",3.00000
M267777,"정제불활화 인플루엔자바이러스항원 A형[A/Singapore/INFIMH-16-0019/2016 IVR-186 (H3N2)]","Purified Inactivated Influenza Virus Antigen A [A/Singapore/INFIMH-16-0019/2016 IVR-186 (H3N2)]",210101,"용액주사제","근육","프리필드시린지",1.00000
M267777,"정제불활화 인플루엔자바이러스항원 A형[A/Singapore/INFIMH-16-0019/2016 IVR-186 (H3N2)]","Purified Inactivated Influenza Virus Antigen A [A/Singapore/INFIMH-16-0019/2016 IVR-186 (H3N2)]",210201,"현탁액주사제","근육","바이알",1.00000
M267790,"테고프라잔",Tegoprazan,010201,"필름코팅정","경구","정",1.00000
M267839,"다파글리플로진",Dapagliflozin,010201,"필름코팅정","","정",1.00000
M267839,"다파글리플로진",Dapagliflozin,010201,"필름코팅정","경구","정",2.00000
M267911,"랄테그라비르칼륨(미분화)","Raltegravir Potassium Micronized",010201,"필름코팅정","경구","정",2.00000
M267939,"정제 불활화 인플루엔자 바이러스 항원 B형[B/Colorado/06/2017-like strain (B/Maryland/15/2016, NYMC BX-69A)]","Purified Inactivated Influenza Virus Antigen B [B/Colorado/06/2017 - like strain (B/Maryland/15/2016, NYMC BX-69A)]",210101,"용액주사제","근육","프리필드시린지",1.00000
M267972,"가도부트롤수화물","Gadobutrol Hydrate",210101,"용액주사제","정맥","",0.00000
M268000,"에스조피클론",Eszopiclone,010201,"필름코팅정","경구","정",3.00000
M268097,"카르보시스테인",Carbocisteine,020101,"경질캡슐제, 산제","경구","캡슐",6.00000
M268097,"카르보시스테인",Carbocisteine,020201,"연질캡슐제, 액상","경구","캡슐",6.00000
M268097,"카르보시스테인",Carbocisteine,070101,"액상시럽제","경구","밀리리터",45.00000
M268102,"에르투글리플로진L-피로글루탐산","Ertugliflozin L-Pyroglutamic Acid",010201,"필름코팅정","경구","정",3.00000
M268137,"테두글루타이드",Teduglutide,210402,"용액용동결건조분말주사제","피하","",0.00000
M268156,"빅테그라비르나트륨","Bictegravir Sodium",010201,"필름코팅정","경구","정",1.00000
M268246,"보르테조밉일수화물","Bortezomib Monohydrate",210402,"용액용동결건조분말주사제","주사, 정맥, 피하","",0.00000
M268272,"레테르모비르",Letermovir,010201,"필름코팅정","경구","정",2.00000
M268272,"레테르모비르",Letermovir,210101,"용액주사제","정맥, 주사","밀리리터",24.00000
M268283,"토파시티닙아스파르트산염","Tofacitinib aspartate",010201,"필름코팅정","","정",2.00000
M268283,"토파시티닙아스파르트산염","Tofacitinib aspartate",010201,"필름코팅정","경구","정",2.00000
M268353,"자소엽건조엑스(7.8~9.5→1)","Perilla Leaf Dried Extract (7.8∼9.5→1)",010201,"필름코팅정","경구","정",6.00000
M268387,"빌다글립틴염산염","Vildagliptin Hydrochloride",010101,"나정","경구","정",2.00000
M268403,"다파글리플로진무수유당혼합물","Dapagliflozin Anhydrous Lactose Mixture",010201,"필름코팅정","경구","정",2.00000
M268453,"다파글리플로진비스L-프롤린","Dapagliflozin Bis L-proline",010201,"필름코팅정","","정",2.00000
M268453,"다파글리플로진비스L-프롤린","Dapagliflozin Bis L-proline",010201,"필름코팅정","경구","정",1.00000
M268526,"헤모필루스인플루엔자비형협막다당류와파상풍톡소이드의접합체(균주명:Haemophilus influenzae,S20752주)","Haemophilus Influenzae Type B Polysaccharide·Tetanus Toxoid Conjugate (Strain: Haemophilus Influenzae,S20752)",210201,"현탁액주사제","근육, 주사","회",1.00000
M268554,"리파스딜염산염수화물","Ripasudil Hydrochloride Dihydrate",410101,"점안용액제","눈","",0.00000
M268607,"더발루맙",Durvalumab,210101,"용액주사제","정맥","",0.00000
M268656,"밀크시슬열매건조엑스","Milk-Thistle Fruit Dried Extract",020201,"연질캡슐제, 액상","경구","캡슐",4.29000
M268656,"밀크시슬열매건조엑스","Milk-Thistle Fruit Dried Extract",020202,"연질캡슐제, 현탁상","경구","캡슐",3.00000
M268703,"이사툭시맙",ISATUXIMAB,210101,"용액주사제","정맥","",0.00000
M268704,"리피테그라스트",Lifitegrast,410101,"점안용액제","외용, 눈","",0.00000
M268718,"진피건조엑스(5→1)","Citrus Unshiu Peel Dried Extract (5→1)",040101,"환제","경구","환",9.00000
M268719,"이노투주맙오조가마이신","Inotuzumab Ozogamicin",210402,"용액용동결건조분말주사제","정맥","",0.00000
M268731,"발록사비르 마르복실","Baloxavir Marboxil",010201,"필름코팅정","경구","정",4.00000
M268731,"발록사비르 마르복실","Baloxavir Marboxil",050402,"현탁액용과립제","경구","병",2.00000
M268732,"미도스타우린",Midostaurin,020201,"연질캡슐제, 액상","경구","캡슐",8.00000
M268745,"리나글립틴(미분화)","Linagliptin Micronized",010201,"필름코팅정","경구","정",2.00000
M268759,"이사부코나조늄황산염","Isavuconazonium sulphate",020101,"경질캡슐제, 산제","경구","캡슐",6.00000
M268759,"이사부코나조늄황산염","Isavuconazonium sulphate",210101,"용액주사제","주사, 정맥","바이알",3.00000
M268768,"데스벤라팍신벤조산염","Desvenlafaxine Benzoate",010201,"필름코팅정","","정",4.00000
M268768,"데스벤라팍신벤조산염","Desvenlafaxine Benzoate",010502,"서방성필름코팅정","경구","정",4.00000
M268790,"고세렐린아세트산염","Goserelin Acetate",210301,"유화주사제","피하","프리필드시린지",1.00000
M268799,"에미시주맙",Emicizumab,210101,"용액주사제","피하","",0.00000
M268832,"락트산암모늄액","Ammonium Lactate Solution",100201,"피부로션제","외용","",0.00000
M268885,"데스벤라팍신",Desvenlafaxine,010201,"필름코팅정","","정",4.00000
M268886,"우담즙건조엑스","Ox Bile Dried Extract",010201,"필름코팅정","경구","정",3.00000
M268886,"우담즙건조엑스","Ox Bile Dried Extract",010602,"장용성필름코팅정","경구","정",6.00000
M268886,"우담즙건조엑스","Ox Bile Dried Extract",010603,"장용성당의정","경구","정",6.00000
M268925,"마늘건조엑스(100→1)","Allium Sativum Dried Extract (100→1)",010201,"필름코팅정","경구","정",2.00000
M268925,"마늘건조엑스(100→1)","Allium Sativum Dried Extract (100→1)",010801,"추어블정(저작정)","경구","정",4.00000
M268925,"마늘건조엑스(100→1)","Allium Sativum Dried Extract (100→1)",020201,"연질캡슐제, 액상","경구","캡슐",1.00000
M268925,"마늘건조엑스(100→1)","Allium Sativum Dried Extract (100→1)",020202,"연질캡슐제, 현탁상","경구","캡슐",2.00000
M268925,"마늘건조엑스(100→1)","Allium Sativum Dried Extract (100→1)",109801,"경구용액제","경구","병",2.00000
M269011,"에르투글리플로진 L-피로글루탐산(미분화)","Ertugliflozin L-Pyroglutamic Acid Micronized",010201,"필름코팅정","경구","정",4.00000
M269019,"양파추출액(1.8→1)","Onion Extract Solution (1.8→1)",370101,"피부용겔제","외용","",0.00000
M269055,"1,4-부탄디올디글리시딜에테르로 가교된 히알루론산나트륨 겔","1,4-Butanediol Diglycidyl Ether Bridged Sodium Hyaluronic Acid Gel",210101,"용액주사제","주사","프리필드시린지",1.00000
M269062,"모사프리드시트르산염이수화물","Mosapride Citrate Dihydrate",010201,"필름코팅정","경구","정",3.00000
M269158,"니라파립토실산염일수화물","Niraparib Tosylate Monohydrate",020101,"경질캡슐제, 산제","경구","캡슐",3.00000
M269200,"과아세트산액1.73%","Peracetic Acid Solution 1.73%",901001,"체외","외용","",0.00000
M269208,"저농도과아세트산평형혼합물","Low Concentration Peracetic Acid Equilibrium Mixture",901001,"체외","기타","",0.00000
M269283,"보노프라잔푸마르산염","Vonoprazan Fumarate",010201,"필름코팅정","경구","정",1.00000
M269283,"보노프라잔푸마르산염","Vonoprazan Fumarate",010201,"필름코팅정","경구, 경구","정",2.00000
M269300,"L-아스파르트산-L-오르니틴",L-Ornithine-L-Aspartate,109801,"경구용액제","","포",4.00000
M269300,"L-아스파르트산-L-오르니틴",L-Ornithine-L-Aspartate,109801,"경구용액제","경구","포",4.00000
M269300,"L-아스파르트산-L-오르니틴",L-Ornithine-L-Aspartate,210101,"용액주사제","정맥","밀리리터",1500.00000
M269321,"중쇄트리글리세라이드","Triglycerides Medium-Chain",210113,"수액제","","",0.00000
M269323,"페노피브레이트과립","Fenofibrate Granules",020104,"경질캡슐제, 과립제정제","경구","캡슐",1.00000
M269365,"피타바스타틴칼슘수화물","Pitavastatin Calcium Hydrate",010201,"필름코팅정","","정",4.00000
M269365,"피타바스타틴칼슘수화물","Pitavastatin Calcium Hydrate",010201,"필름코팅정","경구","정",4.00000
M269423,"엘씨자가혈액유래티림프구","LC Autologous Blood Origin T Lymphocyte",210113,"수액제","정맥","밀리리터",200.00000
M269478,"바솔자가연골유래연골세포","Basol Autologous Chondrocyte",210101,"용액주사제","주사","",0.00000
M269529,"아베마시클립",Abemaciclib,010201,"필름코팅정","경구","정",6.00000
M269559,"답토마이신",Daptomycin,210402,"용액용동결건조분말주사제","","",0.00000
M269559,"답토마이신",Daptomycin,210402,"용액용동결건조분말주사제","정맥","",0.00000
M269559,"답토마이신",Daptomycin,210402,"용액용동결건조분말주사제","주사","",0.00000
M269591,"유전자재조합 인성장호르몬(소마트로핀)","Recombinant Human growth hormone(Somatropin)",210203,"서방성현탁액성주사제","피하","바이알",1.33000
M269621,"루비프로스톤",Lubiprostone,020201,"연질캡슐제, 액상","경구","캡슐",6.00000
M269630,"사이클로스포린",Cyclosporine,410101,"점안용액제","눈","",0.00000
M269683,"오미데네팍이소프로필","Omidenepag Isopropyl",410101,"점안용액제","눈","",0.00000
M269692,"이반드론산나트륨일수화물","Ibandronate Sodium Monohydrate",010201,"필름코팅정","경구","정",1.00000
M269692,"이반드론산나트륨일수화물","Ibandronate Sodium Monohydrate",210101,"용액주사제","","프리필드시린지",1.00000
M269692,"이반드론산나트륨일수화물","Ibandronate Sodium Monohydrate",210101,"용액주사제","정맥","프리필드시린지",1.00000
M269706,"로모소주맙",Romosozumab,210101,"용액주사제","피하","프리필드시린지",2.00000
M269715,"페노피브레이트과립(미분화)","Fenofibrate Granules Micronized",020102,"경질캡슐제, 과립제","경구","캡슐",1.00000
M269746,"dl-캄파",DL-Camphor,330101,"카타플라스마제","외용","",0.00000
M269761,"올메사르탄메독소밀","Olmesartan Medoxomil",010201,"필름코팅정","","정",4.00000
M269761,"올메사르탄메독소밀","Olmesartan Medoxomil",010201,"필름코팅정","경구","정",4.00000
M269777,"텔미사르탄파우더(23.9%)","Telmisartan Powder 23.9%",010101,"나정","경구","정",2.00000
M269777,"텔미사르탄파우더(23.9%)","Telmisartan Powder 23.9%",010401,"다층정","","정",2.00000
M269777,"텔미사르탄파우더(23.9%)","Telmisartan Powder 23.9%",010401,"다층정","경구","정",2.00000
M269811,"엔-아세틸아스파틸글루타민산나트륨","Sodium N-Acetylaspartylglutamate",410101,"점안용액제","눈","",0.00000
M269824,"엘카르니틴",L-Carnitine,010201,"필름코팅정","경구","정",9.09000
M269901,"시롤리무스",sirolimus,010301,"당의정","경구","정",40.00000
M269916,"미로가발린베실산염","Mirogabalin Besilate",010201,"필름코팅정","경구","정",12.00000
M270002,"이소소르비드일질산염서방과립","Isosorbide Mononitrate Extended-Release Granules",020301,"서방성캡슐제, 펠렛","경구","캡슐",2.00000
M270039,"dl-메틸에페드린염산염","DL-Methylephedrine Hydrochloride",010201,"필름코팅정","경구","정",3.00000
M270039,"dl-메틸에페드린염산염","DL-Methylephedrine Hydrochloride",070101,"액상시럽제","경구","포",3.00000
M270057,"이트라코나졸고체분산체","Itraconazole Solid Dispersions",010201,"필름코팅정","","정",4.00000
M270057,"이트라코나졸고체분산체","Itraconazole Solid Dispersions",010201,"필름코팅정","경구","정",4.00000
M270070,"클로피도그렐황산염","Clopidogrel Bisulfate",010201,"필름코팅정","경구","정",4.00000
M270078,"리보시클립숙신산염","Ribociclib succinate",010201,"필름코팅정","경구","정",3.00000
M270138,"에스오메프라졸마그네슘삼수화물(미분화)","Esomeprazole Magnesium Trihydrate (Micronized)",010201,"필름코팅정","경구","정",8.00000
M270138,"에스오메프라졸마그네슘삼수화물(미분화)","Esomeprazole Magnesium Trihydrate (Micronized)",010602,"장용성필름코팅정","경구","정",8.00000
M270144,"아이비엽30%에탄올건조엑스(5~7.5→1)","Ivy Leaf 30 % Ethanol Dried Extract (5～7.5→1)",070101,"액상시럽제","경구","밀리리터",15.00000
M270152,"프루칼로프라이드숙신산염","Prucalopride Succinate",010201,"필름코팅정","경구","정",2.00000
M270160,"정제디프테리아톡소이드 (균주명: Park-Williams No.8주)","Purified Diphtheria Toxoid (Strain: Park-Williams No.8)",210201,"현탁액주사제","근육","프리필드시린지",1.00000
M270161,"정제파상풍톡소이드  (균주명: Harvard A/47주)","Purified Tetanus Toxoid (Strain: Harvard)",210201,"현탁액주사제","근육","프리필드시린지",1.00000
M270162,"정제백일해방어항원 (균주명: Tohama 1상주)","Purified B. Pertussis Protecting Antigen (Strain: Tohama, Phase 1)",210201,"현탁액주사제","근육","프리필드시린지",1.00000
M270249,"농축적혈구","Red Blood Cells",210101,"용액주사제","정맥","",0.00000
M270255,"L-리신아세트산염","L-Lysine Acetate",210101,"용액주사제","정맥","",0.00000
M270255,"L-리신아세트산염","L-Lysine Acetate",210113,"수액제","정맥","",0.00000
M270255,"L-리신아세트산염","L-Lysine Acetate",210113,"수액제","피하","",0.00000
M270256,"L-트립토판",L-Tryptophan,210101,"용액주사제","정맥","",0.00000
M270256,"L-트립토판",L-Tryptophan,210113,"수액제","정맥","",0.00000
M270256,"L-트립토판",L-Tryptophan,210113,"수액제","피하","",0.00000
M270284,"인삼30%에탄올건조엑스(6.7→1)","Ginseng 30% Ethanol Dried Extract (6.7→1)",020201,"연질캡슐제, 액상","경구","캡슐",1.00000
M270284,"인삼30%에탄올건조엑스(6.7→1)","Ginseng 30% Ethanol Dried Extract (6.7→1)",020202,"연질캡슐제, 현탁상","경구","캡슐",2.00000
M270366,"테리파라타이드(유전자재조합)","Teriparatide(Recombinant Human Parathyroid Hormone[1-34])",210101,"용액주사제","피하","밀리리터",0.08000
M270410,"오메가-3-산에틸에스테르90","Omega-3-Acid Ethyl Esters 90",020201,"연질캡슐제, 액상","경구","캡슐",4.00000
M270421,"티피라실염산염","Tipiracil Hydrochloride",010201,"필름코팅정","경구","정",10.67000
M270447,"데스모프레신아세트산염","Desmopressin Acetate",010101,"나정","","정",4.00000
M270447,"데스모프레신아세트산염","Desmopressin Acetate",010101,"나정","경구","정",4.00000
M270478,"암로디핀베실산염","Amlodipine Besylate",010201,"필름코팅정","경구","정",1.00000
M270486,"멜팔란염산염","Melphalan Hydrochloride",210402,"용액용동결건조분말주사제","정맥","",0.00000
M270509,"플루오로에스트라디올 (18F) 액","Fluoro Estradiol (18F)",210000,"주사제","정맥","밀리리터",5.00000
M270546,"로수바스타틴칼슘(미분화)","Rosuvastatin Calcium Micronized",010201,"필름코팅정","경구","정",4.00000
M270546,"로수바스타틴칼슘(미분화)","Rosuvastatin Calcium Micronized",010201,"필름코팅정","경구, 경구","정",1.00000
M270546,"로수바스타틴칼슘(미분화)","Rosuvastatin Calcium Micronized",010401,"다층정","경구","정",1.00000
M270597,"오피카폰",Opicapone,020101,"경질캡슐제, 산제","경구","캡슐",2.00000
M270711,"다코미티닙수화물","Dacomitinib Hydrate",010201,"필름코팅정","경구","정",3.00000
M270741,"폴리트로핀델타","Follitropin delta",210101,"용액주사제","피하","",0.00000
M270747,"엘-알라닌",L-Alanine,210113,"수액제","","",0.00000
M270748,"엘-아스파라긴산","L-Aspartic Acid",210113,"수액제","","",0.00000
M270749,"엘-글루타민산","L-Glutamic Acid",210113,"수액제","","",0.00000
M270750,"엘-히스티딘",L-Histidine,210113,"수액제","","",0.00000
M270751,"엘-이소류신",L-Isoleucine,210113,"수액제","","",0.00000
M270752,"엘-류신",L-Leucine,210113,"수액제","","",0.00000
M270753,"엘-리신염산염","L-Lysine Hydrochloride",210113,"수액제","","",0.00000
M270754,"엘-메티오닌",L-Methionine,210113,"수액제","","",0.00000
M270755,"엘-페닐알라닌",L-Phenylalanine,210113,"수액제","","",0.00000
M270756,"엘-프롤린",L-Proline,210113,"수액제","","",0.00000
M270757,"엘-세린",L-Serine,210113,"수액제","","",0.00000
M270758,"엘-트레오닌",L-Threonine,210113,"수액제","","",0.00000
M270759,"엘-트리프토판",L-Tryptophan,210113,"수액제","","",0.00000
M270760,"엘-티로신",L-Tyrosine,210113,"수액제","","",0.00000
M270761,"엘-발린",L-Valine,210113,"수액제","","",0.00000
M270762,"글리세로인산나트륨(무수물로서)","Anhydrous Sodium Glycerophosphate",210113,"수액제","","",0.00000
M270763,"초산 L-리신","L-Lysine Acetate",210113,"수액제","","",0.00000
M270764,"황산아연칠수화물","Zinc Sulfate Heptahydrate",210113,"수액제","","",0.00000
M270765,"정제대두유","Soybean Oil",210113,"수액제","","",0.00000
M270797,"유파다시티닙반수화물","Upadacitinib Hemihydrate",010502,"서방성필름코팅정","경구","정",1.00000
M270799,"아리피프라졸(미분화)","Aripiprazole Micronized",010101,"나정","","정",6.00000
M270799,"아리피프라졸(미분화)","Aripiprazole Micronized",010101,"나정","경구","정",6.00000
M270852,"이트라코나졸펠렛","Itraconazole Pellets",020102,"경질캡슐제, 과립제","경구","캡슐",4.00000
M270852,"이트라코나졸펠렛","Itraconazole Pellets",020303,"경질캡슐제, 서방성장용성펠렛","경구","캡슐",4.00000
M270862,"로녹토코그알파(혈액응고인자VIII, 유전자재조합)","Lonoctocog  alfa",210402,"용액용동결건조분말주사제","정맥, 주사","",0.00000
M271076,"1,4-부탄디올디글리시딜에테르로가교된히알루론산나트륨 겔","1,4-Butanediol Diglycidyl Ether Bridged Sodium Hyaluronic Acid Gel",210101,"용액주사제","주사","프리필드시린지",1.00000
M271841,"L-아스파르트산-L-오르니틴",L-Ornithine-L-Aspartate,060101,"산제","경구","포",4.00000
M271841,"L-아스파르트산-L-오르니틴",L-Ornithine-L-Aspartate,109801,"경구용액제","경구","포",4.00000
M271841,"L-아스파르트산-L-오르니틴",L-Ornithine-L-Aspartate,210101,"용액주사제","정맥","밀리리터",80.00000
M271999,"갈근탕 건조엑스(10→1)","Galgeuntang Dried Extract (10→1)",020101,"경질캡슐제, 산제","경구","캡슐",6.00000
M272736,"밀크시슬열매 건조엑스","Milk-Thistle Fruit Dried Extract",020101,"경질캡슐제, 산제","경구","캡슐",3.00000
M272736,"밀크시슬열매 건조엑스","Milk-Thistle Fruit Dried Extract",020202,"연질캡슐제, 현탁상","경구","캡슐",3.00000
M273071,"세틸피리디늄염화물","Cetylpyridinium Chloride",340102,"치약","구강","",0.00000
M273071,"세틸피리디늄염화물","Cetylpyridinium Chloride",370112,"치과용겔제","경구","",0.00000
